API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep 15 19:17:20 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2000-Jun-21 00:00:00.0000 UT      
Stop  time      : A.D. 2026-Jun-21 00:00:00.0000 UT      
Step-size       : 360 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260915.p261212                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-15. PREDICTS-> 2026-DEC-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
***********************************************************************************************
 Date__(UT)__HR:MN:SS, , , R.A._____(ICRF), DEC______(ICRF),  R.A.____(a-app), DEC_____(a-app),
***********************************************************************************************
$$SOE
 2000-Jun-21 00:00:00, , , 21 08 20.625599, -18 16 33.95898,  21 08 22.056416, -18 16 23.85105,
 2000-Jun-21 06:00:00, , , 21 20 36.173839, -17 37 54.28823,  21 20 37.546296, -17 37 44.16949,
 2000-Jun-21 12:00:00, , , 21 32 47.973287, -16 56 19.89097,  21 32 49.286278, -16 56 09.81490,
 2000-Jun-21 18:00:00, , , 21 44 56.118507, -16 11 57.07548,  21 44 57.371193, -16 11 47.09520,
 2000-Jun-22 00:00:00, , , 21 57 00.769559, -15 24 52.35096,  21 57 01.961345, -15 24 42.51881,
 2000-Jun-22 06:00:00, , , 22 09 02.150361, -14 35 12.40008,  22 09 03.280871, -14 35 02.76727,
 2000-Jun-22 12:00:00, , , 22 21 00.546587, -13 43 04.05833,  22 21 01.615634, -13 42 54.67463,
 2000-Jun-22 18:00:00, , , 22 32 56.303233, -12 48 34.30083,  22 32 57.310796, -12 48 25.21426,
 2000-Jun-23 00:00:00, , , 22 44 49.821942, -11 51 50.23665,  22 44 50.768137, -11 51 41.49319,
 2000-Jun-23 06:00:00, , , 22 56 41.558183, -10 52 59.11100,  22 56 42.443239, -10 52 50.75434,
 2000-Jun-23 12:00:00, , , 23 08 32.018359, -09 52 08.31526,  23 08 32.842592, -09 52 00.38655,
 2000-Jun-23 18:00:00, , , 23 20 21.756874, -08 49 25.40481,  23 20 22.520668, -08 49 17.94241,
 2000-Jun-24 00:00:00, , , 23 32 11.373220, -07 44 58.12453,  23 32 12.077003, -07 44 51.16382,
 2000-Jun-24 06:00:00, , , 23 44 01.509052, -06 38 54.44177,  23 44 02.153280, -06 38 48.01493,
 2000-Jun-24 12:00:00, , , 23 55 52.845271, -05 31 22.58636,  23 55 53.430411, -05 31 16.72216,
 2000-Jun-24 18:00:00, , , 00 07 46.099047, -04 22 31.09743,  00 07 46.625562, -04 22 25.82105,
 2000-Jun-25 00:00:00, , , 00 19 42.020748, -03 12 28.87629,  00 19 42.489086, -03 12 24.20909,
 2000-Jun-25 06:00:00, , , 00 31 41.390675, -02 01 25.24486,  00 31 41.801261, -02 01 21.20421,
 2000-Jun-25 12:00:00, , , 00 43 45.015508, -00 49 30.00875,  00 43 45.368737, -00 49 26.60785,
 2000-Jun-25 18:00:00, , , 00 55 53.724338, +00 23 06.47603,  00 55 54.020567, +00 23 09.22837,
 2000-Jun-26 00:00:00, , , 01 08 08.364126, +01 36 13.23403,  01 08 08.603680, +01 36 15.33354,
 2000-Jun-26 06:00:00, , , 01 20 29.794443, +02 49 38.60052,  01 20 29.977611, +02 49 40.04769,
 2000-Jun-26 12:00:00, , , 01 32 58.881280, +04 03 10.15295,  01 32 59.008325, +04 03 10.95316,
 2000-Jun-26 18:00:00, , , 01 45 36.489750, +05 16 34.64574,  01 45 36.560913, +05 16 34.80942,
 2000-Jun-27 00:00:00, , , 01 58 23.475461, +06 29 37.95161,  01 58 23.490981, +06 29 37.49437,
 2000-Jun-27 06:00:00, , , 02 11 20.674362, +07 42 05.01234,  02 11 20.634489, +07 42 03.95507,
 2000-Jun-27 12:00:00, , , 02 24 28.890872, +08 53 39.80311,  02 24 28.795891, +08 53 38.17200,
 2000-Jun-27 18:00:00, , , 02 37 48.884134, +10 04 05.31450,  02 37 48.734394, +10 04 03.14107,
 2000-Jun-28 00:00:00, , , 02 51 21.352304, +11 13 03.55708,  02 51 21.148252, +11 13 00.87810,
 2000-Jun-28 06:00:00, , , 03 05 06.914868, +12 20 15.59366,  03 05 06.657085, +12 20 12.45097,
 2000-Jun-28 12:00:00, , , 03 19 06.093098, +13 25 21.60444,  03 19 05.782349, +13 25 18.04472,
 2000-Jun-28 18:00:00, , , 03 33 19.288944, +14 28 00.99026,  03 33 18.926222, +14 27 57.06466,
 2000-Jun-29 00:00:00, , , 03 47 46.762825, +15 27 52.51858,  03 47 46.349409, +15 27 48.28225,
 2000-Jun-29 06:00:00, , , 04 02 28.611056, +16 24 34.51578,  04 02 28.148561, +16 24 30.02723,
 2000-Jun-29 12:00:00, , , 04 17 24.743863, +17 17 45.10802,  04 17 24.234301, +17 17 40.42839,
 2000-Jun-29 18:00:00, , , 04 32 34.865224, +18 07 02.51033,  04 32 34.311053, +18 06 57.70246,
 2000-Jun-30 00:00:00, , , 04 47 58.455965, +18 52 05.36127,  04 47 57.860138, +18 52 00.48870,
 2000-Jun-30 06:00:00, , , 05 03 34.761698, +19 32 33.09663,  05 03 34.127699, +19 32 28.22247,
 2000-Jun-30 12:00:00, , , 05 19 22.787211, +20 08 06.35249,  05 19 22.119076, +20 08 01.53819,
 2000-Jun-30 18:00:00, , , 05 35 21.298774, +20 38 27.38374,  05 35 20.601093, +20 38 22.68784,
 2000-Jul-01 00:00:00, , , 05 51 28.835524, +21 03 20.48113,  05 51 28.113431, +21 03 15.95800,
 2000-Jul-01 06:00:00, , , 06 07 43.730568, +21 22 32.36737,  06 07 42.989696, +21 22 28.06599,
 2000-Jul-01 12:00:00, , , 06 24 04.141754, +21 35 52.55154,  06 24 03.388173, +21 35 48.51446,
 2000-Jul-01 18:00:00, , , 06 40 28.091299, +21 43 13.62172,  06 40 27.331434, +21 43 09.88409,
 2000-Jul-02 00:00:00, , , 06 56 53.512646, +21 44 31.45804,  06 56 52.753172, +21 44 28.04693,
 2000-Jul-02 06:00:00, , , 07 13 18.302230, +21 39 45.35264,  07 13 17.549960, +21 39 42.28663,
 2000-Jul-02 12:00:00, , , 07 29 40.373344, +21 28 58.02883,  07 29 39.635103, +21 28 55.31781,
 2000-Jul-02 18:00:00, , , 07 45 57.709046, +21 12 15.55807,  07 45 56.991552, +21 12 13.20340,
 2000-Jul-03 00:00:00, , , 08 02 08.411188, +20 49 47.18041,  08 02 07.720938, +20 49 45.17527,
 2000-Jul-03 06:00:00, , , 08 18 10.743021, +20 21 45.03991,  08 18 10.086188, +20 21 43.36998,
 2000-Jul-03 12:00:00, , , 08 34 03.163465, +19 48 23.85150,  08 34 02.545820, +19 48 22.49583,
 2000-Jul-03 18:00:00, , , 08 49 44.351928, +19 10 00.51884,  08 49 43.778772, +19 09 59.45080,
 2000-Jul-04 00:00:00, , , 09 05 13.223332, +18 26 53.72376,  09 05 12.699457, +18 26 52.91216,
 2000-Jul-04 06:00:00, , , 09 20 28.933741, +17 39 23.50743,  09 20 28.463415, +17 39 22.91769,
 2000-Jul-04 12:00:00, , , 09 35 30.877592, +16 47 50.86141,  09 35 30.464554, +16 47 50.45667,
 2000-Jul-04 18:00:00, , , 09 50 18.677877, +15 52 37.34327,  09 50 18.325356, +15 52 37.08553,
 2000-Jul-05 00:00:00, , , 10 04 52.170869, +14 54 04.72830,  10 04 51.881610, +14 54 04.57942,
 2000-Jul-05 06:00:00, , , 10 19 11.386996, +13 52 34.70471,  10 19 11.163304, +13 52 34.62733,
 2000-Jul-05 12:00:00, , , 10 33 16.529373, +12 48 28.61640,  10 33 16.373153, +12 48 28.57477,
 2000-Jul-05 18:00:00, , , 10 47 07.951292, +11 42 07.25428,  10 47 07.864095, +11 42 07.21498,
 2000-Jul-06 00:00:00, , , 11 00 46.133744, +10 33 50.69487,  11 00 46.116820, +10 33 50.62733,
 2000-Jul-06 06:00:00, , , 11 14 11.663796, +09 23 58.18277,  11 14 11.718132, +09 23 58.05975,
 2000-Jul-06 12:00:00, , , 11 27 25.214363, +08 12 48.05285,  11 27 25.340732, +08 12 47.85081,
 2000-Jul-06 18:00:00, , , 11 40 27.525762, +07 00 37.68702,  11 40 27.724758, +07 00 37.38634,
 2000-Jul-07 00:00:00, , , 11 53 19.389198, +05 47 43.50035,  11 53 19.661270, +05 47 43.08549,
 2000-Jul-07 06:00:00, , , 12 06 01.632229, +04 34 20.95127,  12 06 01.977708, +04 34 20.41089,
 2000-Jul-07 12:00:00, , , 12 18 35.106145, +03 20 44.57109,  12 18 35.525269, +03 20 43.89808,
 2000-Jul-07 18:00:00, , , 12 31 00.675122, +02 07 08.00819,  12 31 01.168053, +02 07 07.19959,
 2000-Jul-08 00:00:00, , , 12 43 19.206978, +00 53 44.08293,  12 43 19.773815, +00 53 43.13991,
 2000-Jul-08 06:00:00, , , 12 55 31.565316, -00 19 15.15009,  12 55 32.206105, -00 19 16.22236,
 2000-Jul-08 12:00:00, , , 13 07 38.602870, -01 31 38.33555,  13 07 39.317607, -01 31 39.52804,
 2000-Jul-08 18:00:00, , , 13 19 41.155825, -02 43 14.74909,  13 19 41.944456, -02 43 16.04904,
 2000-Jul-09 00:00:00, , , 13 31 40.038941, -03 53 54.22922,  13 31 40.901358, -03 53 55.62037,
 2000-Jul-09 06:00:00, , , 13 43 36.041286, -05 03 27.11125,  13 43 36.977326, -05 03 28.57400,
 2000-Jul-09 12:00:00, , , 13 55 29.922451, -06 11 44.16453,  13 55 30.931879, -06 11 45.67617,
 2000-Jul-09 18:00:00, , , 14 07 22.409078, -07 18 36.53417,  14 07 23.491581, -07 18 38.06911,
 2000-Jul-10 00:00:00, , , 14 19 14.191630, -08 23 55.68810,  14 19 15.346800, -08 23 57.21812,
 2000-Jul-10 06:00:00, , , 14 31 05.921281, -09 27 33.37028,  14 31 07.148600, -09 27 34.86475,
 2000-Jul-10 12:00:00, , , 14 42 58.206884, -10 29 21.56051,  14 42 59.505705, -10 29 22.98671,
 2000-Jul-10 18:00:00, , , 14 54 51.611960, -11 29 12.44137,  14 54 52.981488, -11 29 13.76476,
 2000-Jul-11 00:00:00, , , 15 06 46.651699, -12 26 58.37265,  15 06 48.090973, -12 26 59.55715,
 2000-Jul-11 06:00:00, , , 15 18 43.789968, -13 22 31.87345,  15 18 45.297837, -13 22 32.88180,
 2000-Jul-11 12:00:00, , , 15 30 43.436358, -14 15 45.61211,  15 30 45.011462, -14 15 46.40619,
 2000-Jul-11 18:00:00, , , 15 42 45.943306, -15 06 32.40413,  15 42 47.584059, -15 06 32.94532,
 2000-Jul-12 00:00:00, , , 15 54 51.603380, -15 54 45.21782,  15 54 53.307948, -15 54 45.46737,
 2000-Jul-12 06:00:00, , , 16 07 00.646792, -16 40 17.18767,  16 07 02.413078, -16 40 17.10712,
 2000-Jul-12 12:00:00, , , 16 19 13.239258, -17 23 01.63506,  16 19 15.064888, -17 23 01.18662,
 2000-Jul-12 18:00:00, , , 16 31 29.480322, -18 02 52.09581,  16 31 31.362634, -18 02 51.24282,
 2000-Jul-13 00:00:00, , , 16 43 49.402258, -18 39 42.35401,  16 43 51.338299, -18 39 41.06133,
 2000-Jul-13 06:00:00, , , 16 56 12.969700, -19 13 26.48123,  16 56 14.956219, -19 13 24.71571,
 2000-Jul-13 12:00:00, , , 17 08 40.080106, -19 43 58.88022,  17 08 42.113563, -19 43 56.61112,
 2000-Jul-13 18:00:00, , , 17 21 10.565176, -20 11 14.33186,  17 21 12.641748, -20 11 11.53127,
 2000-Jul-14 00:00:00, , , 17 33 44.193322, -20 35 08.04414,  17 33 46.308922, -20 35 04.68741,
 2000-Jul-14 06:00:00, , , 17 46 20.673250, -20 55 35.70167,  17 46 22.823547, -20 55 31.76780,
 2000-Jul-14 12:00:00, , , 17 58 59.658680, -21 12 33.51424,  17 59 01.839128, -21 12 28.98621,
 2000-Jul-14 18:00:00, , , 18 11 40.754195, -21 25 58.26290,  18 11 42.960067, -21 25 53.12799,
 2000-Jul-15 00:00:00, , , 18 24 23.522162, -21 35 47.34190,  18 24 25.748590, -21 35 41.59198,
 2000-Jul-15 06:00:00, , , 18 37 07.490610, -21 41 58.79534,  18 37 09.732626, -21 41 52.42703,
 2000-Jul-15 12:00:00, , , 18 49 52.161926, -21 44 31.34685,  18 49 54.414510, -21 44 24.36174,
 2000-Jul-15 18:00:00, , , 19 02 37.022169, -21 43 24.42162,  19 02 39.280295, -21 43 16.82629,
 2000-Jul-16 00:00:00, , , 19 15 21.550778, -21 38 38.15972,  19 15 23.809466, -21 38 29.96579,
 2000-Jul-16 06:00:00, , , 19 28 05.230444, -21 30 13.42032,  19 28 07.484802, -21 30 04.64440,
 2000-Jul-16 12:00:00, , , 19 40 47.556875, -21 18 11.77669,  19 40 49.802150, -21 18 02.44025,
 2000-Jul-16 18:00:00, , , 19 53 28.048228, -21 02 35.50209,  19 53 30.279844, -21 02 25.63129,
 2000-Jul-17 00:00:00, , , 20 06 06.253963, -20 43 27.54718,  20 06 08.467558, -20 43 17.17264,
 2000-Jul-17 06:00:00, , , 20 18 41.762925, -20 20 51.50962,  20 18 43.954384, -20 20 40.66611,
 2000-Jul-17 12:00:00, , , 20 31 14.210496, -19 54 51.59712,  20 31 16.375976, -19 54 40.32324,
 2000-Jul-17 18:00:00, , , 20 43 43.284698, -19 25 32.58500,  20 43 45.420644, -19 25 20.92282,
 2000-Jul-18 00:00:00, , , 20 56 08.731167, -18 52 59.76984,  20 56 10.834329, -18 52 47.76450,
 2000-Jul-18 06:00:00, , , 21 08 30.356993, -18 17 18.92061,  21 08 32.424426, -18 17 06.61988,
 2000-Jul-18 12:00:00, , , 21 20 48.033422, -17 38 36.22870,  21 20 50.062489, -17 38 23.68262,
 2000-Jul-18 18:00:00, , , 21 33 01.697494, -16 56 58.25843,  21 33 03.685860, -16 56 45.51882,
 2000-Jul-19 00:00:00, , , 21 45 11.352703, -16 12 31.89918,  21 45 13.298323, -16 12 19.01925,
 2000-Jul-19 06:00:00, , , 21 57 17.068774, -15 25 24.32057,  21 57 18.969877, -15 25 11.35450,
 2000-Jul-19 12:00:00, , , 22 09 18.980696, -14 35 42.93150,  22 09 20.835771, -14 35 29.93404,
 2000-Jul-19 18:00:00, , , 22 21 17.287139, -13 43 35.34422,  22 21 19.094908, -13 43 22.37028,
 2000-Jul-20 00:00:00, , , 22 33 12.248375, -12 49 09.34386,  22 33 14.007774, -12 48 56.44818,
 2000-Jul-20 06:00:00, , , 22 45 04.183832, -11 52 32.86426,  22 45 05.893986, -11 52 20.10104,
 2000-Jul-20 12:00:00, , , 22 56 53.469394, -10 53 53.97033,  22 56 55.129592, -10 53 41.39292,
 2000-Jul-20 18:00:00, , , 23 08 40.534537, -09 53 20.84730,  23 08 42.144207, -09 53 08.50787,
 2000-Jul-21 00:00:00, , , 23 20 25.859380, -08 51 01.79699,  23 20 27.418064, -08 50 49.74625,
 2000-Jul-21 06:00:00, , , 23 32 09.971706, -07 47 05.24113,  23 32 11.479038, -07 46 53.52805,
 2000-Jul-21 12:00:00, , , 23 43 53.444001, -06 41 39.73175,  23 43 54.899680, -06 41 28.40331,
 2000-Jul-21 18:00:00, , , 23 55 36.890506, -05 34 53.96841,  23 55 38.294280, -05 34 43.06934,
 2000-Jul-22 00:00:00, , , 00 07 20.964309, -04 26 56.82215,  00 07 22.315950, -04 26 46.39469,
 2000-Jul-22 06:00:00, , , 00 19 06.354411, -03 17 57.36577,  00 19 07.653699, -03 17 47.44944,
 2000-Jul-22 12:00:00, , , 00 30 53.782766, -02 08 04.91015,  00 30 55.029470, -02 07 55.54152,
 2000-Jul-22 18:00:00, , , 00 42 44.001188, -00 57 29.04613,  00 42 45.195051, -00 57 20.25857,
 2000-Jul-23 00:00:00, , , 00 54 37.788066, +00 13 40.30878,  00 54 38.928792, +00 13 48.48528,
 2000-Jul-23 06:00:00, , , 01 06 35.944770, +01 25 12.85933,  01 06 37.032010, +01 25 20.39844,
 2000-Jul-23 12:00:00, , , 01 18 39.291626, +02 36 57.87828,  01 18 40.324971, +02 37 04.75754,
 2000-Jul-23 18:00:00, , , 01 30 48.663317, +03 48 44.14991,  01 30 49.642289, +03 48 50.35096,
 2000-Jul-24 00:00:00, , , 01 43 04.903545, +05 00 19.91269,  01 43 05.827592, +05 00 25.42152,
 2000-Jul-24 06:00:00, , , 01 55 28.858789, +06 11 32.80286,  01 55 29.727286, +06 11 37.61004,
 2000-Jul-24 12:00:00, , , 02 08 01.370971, +07 22 09.80085,  02 08 02.183219, +07 22 13.90176,
 2000-Jul-24 18:00:00, , , 02 20 43.268841, +08 31 57.18302,  02 20 44.024074, +08 32 00.57810,
 2000-Jul-25 00:00:00, , , 02 33 35.357914, +09 40 40.48158,  02 33 36.055308, +09 40 43.17649,
 2000-Jul-25 06:00:00, , , 02 46 38.408787, +10 48 04.45597,  02 46 39.047479, +10 48 06.46182,
 2000-Jul-25 12:00:00, , , 02 59 53.143740, +11 53 53.07955,  02 59 53.722844, +11 53 54.41307,
 2000-Jul-25 18:00:00, , , 03 13 20.221547, +12 57 49.54577,  03 13 20.740187, +12 57 50.22936,
