year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,0.2702439463752691,0.24754766897978217,0.2586726827081801,0.3664542615673108
2001,1460,0.31770980442706054,0.28678505043605396,0.3118210917014819,0.427985092939277
2002,1460,0.2016560015163461,0.3558832586524613,0.3152442783235676,0.4090436159205033
2003,1460,0.1676581753385986,0.3944661159798139,0.3628274737897143,0.4286105725020051
2004,1464,0.31932869526862884,0.3961849684472539,0.4459017707118943,0.5088207433511199
2005,1460,0.5025560904850019,0.3615291327127974,0.4948904394637984,0.6190032597208497
2006,1460,0.5698226355724816,0.2960865253187845,0.4298750738575683,0.6420925187282054
2007,1460,0.4467472597475963,0.20941280187740705,0.25249943926833235,0.4933822619015272
2008,1464,0.2007412657738975,0.12109112755954611,0.0971879072268831,0.23443455622699366
2009,1460,0.2896267111555424,0.06425763494989581,0.12141411499981483,0.29662465385167963
2010,1460,0.43572432134462724,0.07081000876093042,0.21307508535886083,0.44130153559769586
2011,1460,0.4249797911964001,0.13055179205629155,0.22618183639968534,0.44446818778151986
2012,1464,0.3623767407198223,0.212565945729157,0.2627757691507758,0.42006734580343896
2013,1460,0.22332761965056397,0.29551291170028887,0.3116047894011102,0.37040210748895613
2014,1460,0.08566572532223253,0.36046683808563273,0.3435927468241475,0.3705056482451122
2015,1460,0.2378817166190847,0.3944914579591963,0.4230773631751323,0.46065348513300747
2016,1464,0.4718145691070276,0.39217306606204566,0.5203259115858261,0.6134566913269389
2017,1460,0.66337276184146,0.3545696787540924,0.5555011745114125,0.7520725419990985
2018,1460,0.7091909315587296,0.28702757017322666,0.4539825010774498,0.7649994437387854
2019,1460,0.5563532787498409,0.1994909636242904,0.23928765702170243,0.5910277273097695
2020,1464,0.3008887455206564,0.11336024441647329,0.07089548772492764,0.32153127625372885
2021,1460,0.31231995642731997,0.06324573019409942,0.11803538017280055,0.3186111569284085
2022,1460,0.40623012579467005,0.07783153892443012,0.19034218604976857,0.4134925977774081
2023,1460,0.3981111292229902,0.14011007861072416,0.18049711053510903,0.4219501194708128
2024,1464,0.3448092727387443,0.2210066578920967,0.23104682943474655,0.40952071482853003
2025,1460,0.2104725496768221,0.3011122775128169,0.32081203275142994,0.36737802420032817
2026,685,0.2640804866956489,0.3650352121481538,0.39647882757206054,0.45054219754867214
