rank,period_days,amplitude_deg,frequency_cycles_per_day
1,365.2403846153846,0.26907142907895676,0.002737922864288535
2,431.6477272727273,0.2202995101853034,0.0023167039620902987
3,452.2023809523809,0.1903316077111008,0.00221139923654074
4,379.85,0.13962513255691686,0.002632618138738976
5,351.712962962963,0.1347431877973856,0.002843227589838094
6,189.925,0.10175199031488961,0.005265236277477952
7,193.80102040816325,0.06695421920546216,0.005159931551928393
8,412.88043478260863,0.06319256283949373,0.002422008687639858
9,474.81249999999994,0.05025248437893338,0.002106094510991181
10,211.02777777777777,0.04258363545214013,0.004738712649730157
11,499.8026315789474,0.03770075067802354,0.0020007897854416217
12,186.20098039215685,0.037466289220752916,0.005370541003027511
13,206.44021739130432,0.037462464571096504,0.004844017375279716
14,395.6770833333333,0.024142570368931474,0.002527313413189417
15,128.3277027027027,0.018137142533335825,0.007792549690667369
16,130.08561643835617,0.015562276228673146,0.00768724496511781
17,215.82386363636365,0.014609980548665797,0.0046334079241805975
18,197.83854166666666,0.012420190584909865,0.005054626826378834
19,220.84302325581393,0.01160760704901655,0.004528103198631039
20,202.04787234042553,0.01108895146924338,0.0049493221008292745
