year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,2.6699657299628026,1.2198860949483255,1.4099996084059097,2.932421939071067
2001,1460,2.3621786806849,1.314535802354474,1.3674666668789528,2.701608255027608
2002,1460,2.2094791256329827,1.301165933823265,1.3385264802699912,2.562787283497807
2003,1460,2.1643610618539815,1.3165574336547141,1.4116339918783563,2.532039592113571
2004,1464,2.214704020668988,1.305230167654676,1.4982380143077125,2.5691452972641873
2005,1460,2.2049732217359646,1.2868484216878617,1.506576664215686,2.5511419425733792
2006,1460,2.284713604628723,1.3027891508924794,1.4736086454435506,2.6280026076320193
2007,1460,2.364462360771099,1.314264564767739,1.4051921256262452,2.7033018834627183
2008,1464,2.3137226522361716,1.3103818342346716,1.356915640280836,2.6575013038016295
2009,1460,2.156994339894996,1.298152385378483,1.356950896486852,2.516239540733193
2010,1460,2.22259989197552,1.32726458362347,1.4658880095192997,2.5873444903868323
2011,1460,2.1829605624390873,1.2897062376659472,1.5080611479332626,2.5338297021402085
2012,1464,2.2360423039341395,1.2916155476618019,1.5032685768501788,2.580320455003795
2013,1460,2.3212422113460955,1.30937701162531,1.4521378726846685,2.663099612491742
2014,1460,2.3750461828375786,1.3154537601595087,1.3898863456662673,2.713292694090923
2015,1460,2.239745500246364,1.3047921553031898,1.3519674302181994,2.5907261261737538
2016,1464,2.15349604072053,1.310831532936088,1.3989686876882508,2.5198357378935206
2017,1460,2.2361393823680387,1.3129035874834614,1.4992277720364529,2.5915840582936176
2018,1460,2.196346947150689,1.286335840825803,1.5149115200503307,2.5435422871648568
2019,1460,2.274280622375482,1.3004300152699901,1.4937404769961802,2.6178385598566116
2020,1464,2.3648362746100107,1.3131197089038888,1.4303826240760567,2.7030890398063154
2021,1460,2.34595701596522,1.3132382246283225,1.3782482761824901,2.6869697098570793
2022,1460,2.1816598736501183,1.2982921254816708,1.3595449420622967,2.5374835174708514
2023,1460,2.2178763141482363,1.326060876674584,1.4548720530588022,2.582745003193385
2024,1464,2.2062293907490886,1.29373210797132,1.5133009578065242,2.556013697190219
2025,1460,2.235345324519313,1.2912393566281768,1.5189126326061149,2.579619592844975
2026,685,1.9558495199145975,1.4272348863320907,1.507520693763631,2.420606508967422
