rank,period_days,amplitude_deg,frequency_cycles_per_day
1,182.6201923076923,0.015722044767474196,0.00547584572857707
2,186.20098039215685,0.00991876315919269,0.005370541003027511
3,179.1745283018868,0.00610209869369829,0.005581150454126629
4,365.2403846153846,0.0012027186672987585,0.002737922864288535
5,351.712962962963,0.0010087817453335907,0.002843227589838094
6,189.925,0.0005466335779256592,0.005265236277477952
7,121.74679487179486,0.0003974657180018131,0.008213768592865605
8,123.32792207792208,0.00031969629044439717,0.008108463867316045
9,175.8564814814815,0.00031889029853086475,0.005686455179676188
10,395.6770833333333,0.00024071715607200508,0.002527313413189417
11,339.1517857142857,0.00017677993941150736,0.002948532315387653
12,327.4568965517241,0.00014688692358528823,0.003053837040937212
13,193.80102040816325,0.00013248788751798657,0.005159931551928393
14,120.20569620253164,0.00011560026352590821,0.008319073318415164
15,172.6590909090909,8.036046914590452e-05,0.005791759905225747
16,27.366714697406337,6.512095953828504e-05,0.03654073976569699
17,379.85,6.440904239560393e-05,0.002632618138738976
18,197.83854166666666,5.368437499487113e-05,0.005054626826378834
19,3.489985299522234,4.511805178077291e-05,0.28653415822035017
20,124.95065789473685,4.138744618988795e-05,0.008003159141766487
