year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,0.5366017556245701,1.87342166833176,1.7902311061886333,1.9457170310151952
2001,1460,0.34419195228609417,1.9799095370431232,1.936379551660945,2.0084294528251037
2002,1460,0.1866830801224988,2.097163038139269,2.0964602999006625,2.1051725263375958
2003,1460,0.48974770641374066,2.2152767297331835,2.245930415528326,2.267102422338824
2004,1464,0.8466290569349249,2.33332537021134,2.384051531487344,2.478036237339003
2005,1460,1.2037642934727844,2.4509425481112985,2.5106442066587498,2.723765582301442
2006,1460,1.5544204001938433,2.5665614326559134,2.6242963670863446,2.9913533289776515
2007,1460,1.8973418701716624,2.679833340151706,2.724974653766063,3.2724448648169973
2008,1464,2.2312950638006805,2.7900693455725145,2.8122750849889275,3.5603050278542994
2009,1460,2.555243844746741,2.897354401024737,2.8868051077979255,3.8503447895189367
2010,1460,2.8670020426634397,3.0003636928804283,2.9477711483785627,4.137155568397824
2011,1460,3.166564578744172,3.099153588759868,2.9958308103341564,4.418551244418608
2012,1464,3.454276683669058,3.1932612857702978,3.0310703830685157,4.692833863351887
2013,1460,3.7311449297983925,3.2830699373319763,3.0545429164685767,4.959810423946235
2014,1460,3.9970443219545744,3.3673218508043483,3.065644180185074,5.217689145731187
2015,1460,4.253867243633522,3.4460888377888073,3.064857452864235,5.46733625156074
2016,1464,4.502455398508573,3.5189135438246875,3.0521407408218493,5.708681797470369
2017,1460,4.743810392574558,3.5863511661731637,3.028544731616585,5.942528648502763
2018,1460,4.976716015833411,3.6472461433159955,2.9937032815152653,6.16695639361717
2019,1460,5.2016732162536305,3.7019092973254497,2.948371320127949,6.382349246927602
2020,1464,5.418220185764963,3.750050428790791,2.8928589418779196,6.587996862244714
2021,1460,5.62627969321023,3.7924615132888153,2.828575396754737,6.784138458589871
2022,1460,5.823404142989001,3.8282406081276803,2.755863665463714,6.968098465755637
2023,1460,6.009650622476524,3.8577377396644685,2.6756313414399395,7.139985142718728
2024,1464,6.184607499623752,3.880720722505377,2.58836297617634,7.299213956092557
2025,1460,6.349721242882679,3.8979869950696546,2.4951261415294836,7.4473446811604465
2026,685,6.3826253352706885,3.870676711968913,2.3605778551627243,7.460145706926133
