year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,1.1419587612514854,0.07128995324874063,0.19220447799416748,1.1433408332935076
2001,1460,0.9322153562540193,0.04705579754517665,0.10582604411258784,0.9329344193448311
2002,1460,0.9448100164902546,0.04071854237368338,0.05729496584926804,0.9454314756475684
2003,1460,0.917470889966257,0.03930947454745734,0.11506880370717497,0.9182280322215887
2004,1464,0.8515362454973024,0.04479564795135849,0.18844762942302032,0.8527074565293876
2005,1460,0.7575065157021741,0.056808423118825474,0.2341982597417698,0.7596146412094278
2006,1460,0.651883257444288,0.07305710480625706,0.24631125292848932,0.6558827976623527
2007,1460,0.5589692869341372,0.09075860809803303,0.23305615666238522,0.5661364637707695
2008,1464,0.5021246091502821,0.10757928880267825,0.207940610758965,0.5132948105892655
2009,1460,0.4923048650679916,0.12196184117057388,0.18185858278689027,0.5068777244241786
2010,1460,0.519107167546558,0.1328661775771511,0.16269448373359516,0.5354349303053438
2011,1460,0.5570121658351548,0.1401443722270727,0.14720867285115274,0.5738854415570414
2012,1464,0.5851355579066988,0.1441635979024542,0.12846685919388087,0.6021156922382691
2013,1460,0.5931658986948682,0.14573918059389146,0.10311224320101145,0.6103220267573943
2014,1460,0.5730326277514639,0.14582776103023504,0.07711352785124448,0.5909022173010153
2015,1460,0.5254982797090061,0.14543587870168062,0.07245398509150434,0.5449794159610578
2016,1464,0.45357310956260694,0.14513975975892343,0.09820086319730888,0.47607625150336164
2017,1460,0.36703484659530883,0.14529861986060194,0.12991075025214155,0.39468509621959225
2018,1460,0.2826078235868199,0.14578760236835955,0.14952405663461538,0.3179797190657401
2019,1460,0.24024673963650184,0.14616999371820275,0.14933592467594267,0.28121738335687146
2020,1464,0.2820871755620457,0.1456924704893109,0.13055334880569394,0.3174872106070446
2021,1460,0.3869005768883863,0.14364569492691676,0.10802960918575163,0.4126796516305269
2022,1460,0.5112465379558512,0.13913492844096845,0.1133466894616427,0.529739541719422
2023,1460,0.6349386466381437,0.13180457764898743,0.15640582378741125,0.6482320967044151
2024,1464,0.7507625963477986,0.12164284168524844,0.21343039793372484,0.7601108989741899
2025,1460,0.8605607914741471,0.10919757216834627,0.26749898086244883,0.8667862742725846
2026,685,0.8499407273189973,0.061184294300319596,0.28804625455647753,0.8514840445584676
