rank,period_days,amplitude_deg,frequency_cycles_per_day
1,379.85,0.5031004326382491,0.002632618138738976
2,365.2403846153846,0.31243683559714913,0.002737922864288535
3,395.6770833333333,0.15927826648439278,0.002527313413189417
4,351.712962962963,0.07287053725999795,0.002843227589838094
5,186.20098039215685,0.06320222584732364,0.005370541003027511
6,189.925,0.061386608864937166,0.005265236277477952
7,412.88043478260863,0.060260404957090855,0.002422008687639858
8,182.6201923076923,0.021498994093173754,0.00547584572857707
9,193.80102040816325,0.012618892740979777,0.005159931551928393
10,431.6477272727273,0.011937894047309624,0.0023167039620902987
11,124.95065789473685,0.0071495460834269265,0.008003159141766487
12,197.83854166666666,0.006529947805797811,0.005054626826378834
13,126.61666666666666,0.005793582098933941,0.007897854416216928
14,339.1517857142857,0.005121351620131524,0.002948532315387653
15,452.2023809523809,0.0028101450663114633,0.00221139923654074
16,123.32792207792208,0.0026366902846646457,0.008108463867316045
17,179.1745283018868,0.0018757918178396072,0.005581150454126629
18,202.04787234042553,0.0018631303253959343,0.0049493221008292745
19,327.4568965517241,0.0017639011020984768,0.003053837040937212
20,128.3277027027027,0.001397596482905522,0.007792549690667369
