rank,period_days,amplitude_deg,frequency_cycles_per_day
1,365.2403846153846,0.37563616399206884,0.002737922864288535
2,379.85,0.18898056331617502,0.002632618138738976
3,351.712962962963,0.1860028963926171,0.002843227589838094
4,29.49145962732919,0.001608386828257351,0.03390812162695801
5,182.6201923076923,0.0015653108718353312,0.00547584572857707
6,287.7651515151515,0.0013104682311404232,0.003475055943135448
7,296.7578125,0.0012818530083296225,0.0033697512175858892
8,395.6770833333333,0.0012164964998049189,0.002527313413189417
9,412.88043478260863,0.0008805849716548244,0.002422008687639858
10,179.1745283018868,0.0008017641506995155,0.005581150454126629
11,186.20098039215685,0.0007815278564201179,0.005370541003027511
12,202.04787234042553,0.0005829999920667227,0.0049493221008292745
13,197.83854166666666,0.0005669112201236693,0.005054626826378834
14,431.6477272727273,0.0004828362482660311,0.0023167039620902987
15,339.1517857142857,0.00038845305253782297,0.002948532315387653
16,452.2023809523809,0.00037132176007954816,0.00221139923654074
17,279.3014705882353,0.0002712735033765939,0.0035803606686850074
18,306.3306451612903,0.00023226851353782722,0.0032644464920363304
19,206.44021739130432,0.00017466518276885095,0.004844017375279716
20,211.02777777777777,0.0001296757589389469,0.004738712649730157
