year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,0.3378030479254689,0.14790485126752442,0.045557096862919484,0.3687438249103496
2001,1460,0.37329910671517974,0.14928054412995898,0.037410144105891587,0.4020188495932613
2002,1460,0.3590954677794773,0.1529511394128372,0.040589282390243314,0.390290090546734
2003,1460,0.3409943489013996,0.15621305288410747,0.04484088409738362,0.37505133428723586
2004,1464,0.3197947440589206,0.1590274361252725,0.05026323713569996,0.3571327353090842
2005,1460,0.2980201925438974,0.1615716521200152,0.05640600588867837,0.3389815867624221
2006,1460,0.2755384500101843,0.16368936649350566,0.06331304020937763,0.3204754526408685
2007,1460,0.2539343643641712,0.1654699964089336,0.07050632517424736,0.30307349630281666
2008,1464,0.23328787315150196,0.1668369622171137,0.07790011665330061,0.2867924857839457
2009,1460,0.21439298584673644,0.16786895959471984,0.08492582783596188,0.27228263122757457
2010,1460,0.19605217566412664,0.1684118186918162,0.0919905783066004,0.2584448178149055
2011,1460,0.17765626804794946,0.16851918353248738,0.09925591625398589,0.2448597886042703
2012,1464,0.15766086000137333,0.16818531601035244,0.10740749075208905,0.23052147829459887
2013,1460,0.13622705034111457,0.16735594243014995,0.11614554688605411,0.21578613871423688
2014,1460,0.1133248928841482,0.16612342511042866,0.12598210452108205,0.20109236812572834
2015,1460,0.09138248811481044,0.1644696379041791,0.1364423138178036,0.188149411095239
2016,1464,0.07509879570526858,0.16249960204086444,0.14721439499463723,0.17901243512088774
2017,1460,0.0705707768396482,0.16008373077728205,0.15731077750305206,0.17494755235135565
2018,1460,0.0804725676340287,0.15736078545767243,0.16641743237914416,0.17674221673225704
2019,1460,0.09913941459530481,0.15426349980143791,0.1738187931439888,0.18337198567077545
2020,1464,0.12094621874313419,0.15075388447838112,0.17920781759990054,0.19327190179157117
2021,1460,0.14124763444078214,0.14683818521191952,0.18187045420692885,0.20374394173735802
2022,1460,0.15935853050245155,0.14247757441368883,0.18200129878028407,0.21376217738213446
2023,1460,0.17516016377360122,0.1376476313965169,0.1797626055414011,0.22277189112222917
2024,1464,0.18968477974732856,0.13241852379128186,0.17560483353818857,0.2313319766239378
2025,1460,0.20414710906357325,0.126764662962675,0.16980323653232884,0.24030185696935294
2026,685,0.23261845013823276,0.12218386559798493,0.17008138060460337,0.26275461885721735
