rank,period_days,amplitude_deg,frequency_cycles_per_day
1,365.2403846153846,0.10468142300907884,0.002737922864288535
2,379.85,0.08025552735121258,0.002632618138738976
3,351.712962962963,0.03837106203620598,0.002843227589838094
4,182.6201923076923,0.02293132526258235,0.00547584572857707
5,186.20098039215685,0.018270201608119888,0.005370541003027511
6,395.6770833333333,0.012685378838739929,0.002527313413189417
7,179.1745283018868,0.006829737916986481,0.005581150454126629
8,189.925,0.0025473981968047532,0.005265236277477952
9,412.88043478260863,0.0017272446787599618,0.002422008687639858
10,339.1517857142857,0.0012383876931855288,0.002948532315387653
11,123.32792207792208,0.001076377450805326,0.008108463867316045
12,121.74679487179486,0.000941814764865947,0.008213768592865605
13,175.8564814814815,0.0005931240481401831,0.005686455179676188
14,431.6477272727273,0.0005582030418841306,0.0023167039620902987
15,327.4568965517241,0.0005437299745054198,0.003053837040937212
16,193.80102040816325,0.0004063206989299792,0.005159931551928393
17,124.95065789473685,0.0002955948590295958,0.008003159141766487
18,452.2023809523809,0.00026181582763417505,0.00221139923654074
19,316.5416666666667,0.0002028934189876464,0.003159141766486771
20,172.6590909090909,0.00018604600909539635,0.005791759905225747
