year,n,rms_dlon_deg,rms_dlat_deg,rms_ddec_deg,rms_sep_deg
2000,776,0.1834059005938591,0.25644854018627655,0.20908579877882136,0.3152623585726377
2001,1460,0.9618288119958055,0.24175134430086118,0.4008997054150514,0.9868247149912605
2002,1460,0.8844783780419464,0.27741280992823686,0.14908342348210368,0.9242173050213576
2003,1460,0.6031389059368819,0.2341226352163031,0.17453881894797468,0.6467679662368949
2004,1464,0.6213262392703267,0.24074730958428986,0.2228290436782181,0.6654583589642793
2005,1460,0.5276948446948643,0.2805113571319981,0.21822765307880407,0.5974890117265549
2006,1460,0.7603296349305237,0.22590459757014666,0.24835078743033742,0.791090296535355
2007,1460,0.9463578917705019,0.24494315401531835,0.26303739454172553,0.9728999119509706
2008,1464,0.5049047675812343,0.2483885260412889,0.18419913204371738,0.5626264768151744
2009,1460,0.9072259023234993,0.24283929351020142,0.39877619203525466,0.9343136290739036
2010,1460,0.9063455901928936,0.2778811700014548,0.18798264073237553,0.9446781291859044
2011,1460,0.5251717392683216,0.23466917580722865,0.19087952733176353,0.5750463952718284
2012,1464,0.584474279142901,0.24202782965704994,0.24076024081286526,0.6317531449565722
2013,1460,0.48096773108487917,0.2833079852259074,0.24057743726003372,0.5580162752273342
2014,1460,0.6730957499297051,0.22561185189311622,0.2497414394190875,0.7081893888329368
2015,1460,0.9498064555427288,0.2456391373478848,0.2863180551134624,0.9762185150837945
2016,1464,0.4396031077624811,0.24981667797414445,0.207512328403061,0.5055644365110536
2017,1460,0.8530207938779231,0.2438961530258122,0.3962615509616489,0.8825223410759291
2018,1460,0.9452386590109081,0.2785522243995602,0.2304022524511455,0.9815311988030629
2019,1460,0.4633245514787645,0.23523742776144377,0.21054385427850744,0.519490767502373
2020,1464,0.5666375610134533,0.24319321798251012,0.2600947564253034,0.6158002091353796
2021,1460,0.46208167675882,0.28597020242004195,0.2635175148733326,0.5431379669576659
2022,1460,0.600469656372263,0.22547791946306073,0.25586858984089056,0.6400647409661786
2023,1460,0.9597364456925398,0.24635541863617194,0.3084603471315629,0.985924258036183
2024,1464,0.3970800540159754,0.25135868115335047,0.23257156708970073,0.46988217519938263
2025,1460,0.8071742380049761,0.24503793375000274,0.3957543914602503,0.8391050872300254
2026,685,0.3920126558900509,0.24926547014691683,0.13086040961103368,0.46448297661239635
